path,true,pred,conf
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\pitted_surface\pitted_surface_275.jpg,3,0,0.4503654411097315
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\pitted_surface\pitted_surface_295.jpg,3,5,0.4512871220791274
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\inclusion\inclusion_281.jpg,1,1,0.4530646097079257
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\scratches\scratches_272.jpg,5,5,0.45413001154422517
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\inclusion\inclusion_287.jpg,1,1,0.45520734255114353
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_296.jpg,0,0,0.455693597935732
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_242.jpg,0,0,0.45672009057792223
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\patches\patches_245.jpg,2,2,0.45755649717514124
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\inclusion\inclusion_286.jpg,1,1,0.45814000889183776
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\patches\patches_259.jpg,2,2,0.4581551459293394
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\patches\patches_246.jpg,2,2,0.46024767188428767
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\inclusion\inclusion_279.jpg,1,4,0.46095332379108167
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\scratches\scratches_251.jpg,5,1,0.46108554839061566
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\scratches\scratches_250.jpg,5,5,0.46158538340007543
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\pitted_surface\pitted_surface_294.jpg,3,0,0.4620048292902066
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\rolled-in_scale\rolled-in_scale_262.jpg,4,1,0.4629459914527534
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_300.jpg,0,0,0.4643001610327751
