path,true,pred,conf,decision
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_241.jpg,0,3,0.41696423932316934,fail
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_242.jpg,0,0,0.45672009057792223,review
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_243.jpg,0,0,0.5639382847285228,review
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_244.jpg,0,0,0.4396413066043467,fail
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_245.jpg,0,3,0.40310035760186125,fail
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_246.jpg,0,0,0.5628373305344119,review
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_247.jpg,0,0,0.43504592645880613,fail
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_248.jpg,0,0,0.42607984277331407,fail
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_249.jpg,0,0,0.5326010058970899,review
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_250.jpg,0,0,0.4493352542252563,fail
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_251.jpg,0,0,0.40165242063600276,fail
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_252.jpg,0,0,0.5243508084552141,review
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_253.jpg,0,0,0.5539821707305002,review
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_254.jpg,0,0,0.4782245295994693,review
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_255.jpg,0,3,0.3634365610799448,fail
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_256.jpg,0,3,0.4748136032665229,review
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_257.jpg,0,0,0.41729059202814756,fail
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_258.jpg,0,3,0.4784820652052493,review
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_259.jpg,0,3,0.4167406514375919,fail
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_260.jpg,0,0,0.4492027397364405,fail
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_261.jpg,0,0,0.5212193121814486,review
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_262.jpg,0,2,0.3571510269661043,fail
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_263.jpg,0,0,0.5187653341674983,review
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_264.jpg,0,3,0.4189214542542753,fail
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_265.jpg,0,0,0.39094580496056636,fail
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_266.jpg,0,3,0.422433286202663,fail
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_267.jpg,0,0,0.4424255606255722,fail
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_268.jpg,0,3,0.43931377143187506,fail
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_269.jpg,0,0,0.3503960056574954,fail
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_270.jpg,0,3,0.4192751375206396,fail
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_271.jpg,0,0,0.33427794654510345,fail
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_272.jpg,0,3,0.4312191908170956,fail
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_273.jpg,0,3,0.4104075117852019,fail
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_274.jpg,0,3,0.3954220868032743,fail
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_275.jpg,0,0,0.5310356402530314,review
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_276.jpg,0,0,0.6624481373844523,review
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_277.jpg,0,3,0.4447780266235973,fail
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_278.jpg,0,0,0.3640852889940771,fail
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_279.jpg,0,3,0.36963097502642095,fail
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_280.jpg,0,5,0.3161547910047163,fail
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_281.jpg,0,0,0.3998263982308593,fail
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_282.jpg,0,0,0.5612313502397501,review
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_283.jpg,0,4,0.35877122759621377,fail
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_284.jpg,0,0,0.3129261443127738,fail
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_285.jpg,0,0,0.49203378956522026,review
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_286.jpg,0,0,0.40286710824925825,fail
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_287.jpg,0,0,0.3572043631803448,fail
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_288.jpg,0,0,0.44828777927936087,fail
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_289.jpg,0,0,0.3847315124013799,fail
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_290.jpg,0,0,0.5558752434440543,review
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_291.jpg,0,0,0.4488896592989976,fail
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_292.jpg,0,0,0.5943043282107126,review
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_293.jpg,0,0,0.48224850357277077,review
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_294.jpg,0,0,0.48317182882812537,review
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_295.jpg,0,0,0.5556279261462032,review
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_296.jpg,0,0,0.455693597935732,review
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_297.jpg,0,0,0.4268663421948846,fail
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_298.jpg,0,0,0.5295508207025109,review
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_299.jpg,0,0,0.564526591391779,review
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\crazing\crazing_300.jpg,0,0,0.4643001610327751,review
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\inclusion\inclusion_241.jpg,1,3,0.6330716558201547,review
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\inclusion\inclusion_242.jpg,1,3,0.9152398213022314,pass
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\inclusion\inclusion_243.jpg,1,3,0.7524797117911978,review
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\inclusion\inclusion_244.jpg,1,3,0.6541292980192784,review
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\inclusion\inclusion_245.jpg,1,3,0.7853682170111113,review
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\inclusion\inclusion_246.jpg,1,3,0.6155024167853145,review
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\inclusion\inclusion_247.jpg,1,3,0.6887755955096919,review
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\inclusion\inclusion_248.jpg,1,3,0.6551361001044606,review
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\inclusion\inclusion_249.jpg,1,3,0.7196340399410056,review
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\inclusion\inclusion_250.jpg,1,3,0.8461379103198118,review
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\inclusion\inclusion_251.jpg,1,3,0.945026919712881,pass
g:\我的雲端硬碟\FCU\課程\ChemEng_AI_Course_Materials\Part_4\data\NEU-DET\validation\images\inclusion\inclusion_252.jpg,1,3,0.34001116898596523,fail
