ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
,,26768.764281510812,,358.6667256957537,340.56381339008817,11.458773862527185,81.60070487556587,,0
6.792603548243223,206.71482486238963,,5.693725220140118,159.70807003851843,457.14463271311433,10.146003757935794,56.340142509339785,4.896922920989107,1
,203.9798931188018,18633.97535906059,4.962389604818573,181.87305325675308,,4.459964808116085,47.241414274660116,2.8247644874874256,1
9.284544784612038,227.70288855579537,,,395.4838973151999,449.393082757512,13.275561750381963,,,1
6.648769937914996,156.9148464871871,20702.332115302997,6.089315153709375,286.2529235844174,358.7541303313415,20.07751273180781,,3.898303693330119,1
,201.50157395820412,,6.292282074359792,250.97135410942073,,16.92032037015039,61.560823850384395,2.1612043430442567,0
9.368819223261088,,30223.481016531616,,431.66764968604383,452.595780828373,,61.50980033098469,6.403196827808851,0
8.151152093729364,243.82278227514678,38824.11191102947,,,438.36173133922,,,,0
6.295788421097572,121.92533887790702,18365.37707441208,,,,17.98935690303631,74.49016261991216,,0
7.8138400653789475,275.17099142144997,38153.19753417109,9.337160728546763,,364.4311502751269,13.5227627527879,63.07696373309887,,0
6.304873460781307,183.49399530167747,19680.34928262436,,544.3702955120002,354.8409972176561,20.299737255156234,84.91034324435097,4.504888058353092,0
,189.41665090344117,,4.555270770025522,281.6388911552164,461.1320172633391,,69.44851167670532,,1
7.362943407349051,168.61330469577473,21737.719030694516,,469.55964394879106,561.7117615277883,11.000121888109375,77.76973712504878,,1
4.130079633013303,,30486.77648565132,9.669012266675676,325.09071679200696,426.0051208555695,10.610920223121486,85.04062005131269,2.8192801067051443,0
4.412623251230451,270.9265672574018,39701.34837171827,5.905616422235018,,463.21265864424305,8.071526518263948,63.89252667566806,4.816769833642664,0
6.1565687061385415,75.60956717324603,,4.497287635521426,368.6278996598487,396.0571084016864,,65.98682897817757,4.170990384087539,1
5.480753319498364,,,6.138007599560374,355.1810049164131,,14.41286503906367,40.823308425756295,2.9856077340798852,0
,216.90117405508542,37466.361102475625,6.522788936570745,,,11.15119590059749,,4.360074742737912,0
5.637963886718183,139.64891760713923,20403.962032839238,7.536826547389124,256.22245782922283,506.75728151775456,0.0,63.668841604455125,5.3177988377122745,0
4.881544447997063,146.2343803475381,,7.501902041424086,,488.96966226576745,,,4.1302727785830955,0
9.19847315338233,283.81965136041015,,,,408.62491054918235,,77.83555978379884,,0
6.661335549270197,,16362.826427954358,8.371312785027422,132.34693736964795,478.73504897646865,16.35691313954655,,2.6908248582194876,0
7.101292307031886,,,,414.2497162019042,505.43856176490476,14.124858358678258,,5.716307196856204,0
4.862877720679815,256.86572711823646,35872.08003341353,6.687447326589914,290.4401620948018,570.8142816461036,22.46949126568137,80.53297665938945,5.566819867214775,0
6.183425913212226,216.92764381429572,14698.073155225578,8.37354814100671,223.4602012481459,513.9673494182698,17.98782992609048,58.99645036854552,,1
7.166383884564799,153.10372117318005,9905.585041334438,5.716357192111317,,430.7439102530275,11.981581618060103,54.51324878482269,3.8135673107755066,1
,210.83124877023096,25044.847561297996,5.861297152837725,,,11.191745750578752,59.34152324619279,6.12133100903549,0
7.563547027518508,148.71236581798615,,8.183336099386262,,439.0092467904567,20.010910723197142,33.84113176850282,2.299643768428817,0
6.099041965121793,,18545.127077584955,5.284533646789961,365.03618103838045,448.0919656264377,8.096515611594352,77.44765490852853,4.906432587038172,1
,253.06854824365666,24940.46397178487,6.230415952791859,329.87883976415634,488.81267977864735,14.763519743674832,64.0338233283694,3.1620793403033076,0
,226.60030994109715,18760.57723809803,8.111484356085786,317.7816044015875,,13.475518147001312,61.64280624008381,,0
9.778417276763406,218.0830530623508,3478.5886817710343,,368.61702084449104,416.43645391488985,12.627095725181297,,,0
6.979754162893099,288.0594062433687,41130.13547444815,,296.9174992952536,614.08884708318,15.414055937793702,66.22527677543334,5.890567777210064,1
5.41343360656615,199.98431636941126,23242.457847390106,,261.79419290028005,266.66416819634804,14.758239442034704,76.45499793075307,2.858008977308307,1
8.233817368154783,140.90629372895995,39173.82541314089,8.06160316734546,378.79272981237153,462.7407685215463,15.829602971166977,65.16698334081202,2.127206976513598,1
,222.47369564161534,18879.564997834663,4.853619451865901,318.4409726844456,353.1331647034375,14.555902609453135,44.213815229123,3.648610814198332,0
7.313295392507133,304.3023524768557,11439.856219710833,,332.6854118455205,253.35002002800775,15.67072562006899,75.20825794470507,4.3940251869202545,1
4.060494814180337,149.2620253407074,,,417.1503868923686,,14.373460771726378,73.97711505606762,,0
,181.92686166530072,19410.554484061366,7.643169080745512,320.8898713811407,293.8544571421139,11.362292451134742,69.28843197146337,5.137461139412451,1
,,7866.862504103703,7.233016104951742,331.20271404334324,410.47148917704646,14.016005040946382,83.2038609113811,3.685069648284356,1
8.107699869993116,197.30475754971303,39637.41110544995,7.759399354834225,282.0280390839255,428.12923232850113,11.14245376118392,66.48605882260735,0.8778442573500915,1
,,14532.757325272047,6.377065610201597,364.4591947185481,,10.878493581076599,,4.829217968789501,0
6.826527576417639,256.09289281152354,0.0,7.1172178347435855,357.98623301440705,289.3173378712456,12.655399989128993,88.51537634365434,2.6761944112792637,1
6.548344456616067,,,,,506.7600649081195,13.522307357056631,,3.4576039274852226,0
4.782217014448859,209.80657295119536,15948.423810248521,6.3601854439941725,283.6696930394499,433.8272405251815,,54.033062049953,6.329696805309034,0
5.920233687407937,154.7965855132,14706.113288612509,9.781667096353287,293.37464243278515,517.5964238248635,,63.90742850396095,6.659217586181635,1
,122.55197374732624,815.348955640311,,393.37099193163755,,12.006143669836627,85.82169654493399,,1
8.585683339328373,212.89879906105904,42891.29783916389,6.958157925233846,350.1770402690291,305.0979871912899,,42.03795414288789,4.86667994594776,0
7.515427434352692,,6526.23295348375,,257.50254990458444,315.42506064057204,14.472110855775275,59.72874130914226,3.171588264366033,1
4.355439766955899,223.75838732476907,22701.3937684678,4.278330043397842,,308.73732916995954,,60.512562616852094,,1
